"","Race_id","Driver_id","lap_mean","pitStop_mean","constructor_id","pos"
"2266",957,1,109535.211538462,29535.5,131,1
"2267",957,3,109668.115384615,29555,131,3
"2268",957,4,112054.764705882,30036.3333333333,1,13
"2269",957,8,110876.423076923,30020,6,5
"2270",957,13,111700.392156863,29330.6666666667,3,11
"2271",957,18,111782.274509804,29840.5,1,12
"2272",957,20,111201.634615385,30272,6,9
"2273",957,154,137194.294117647,31257,210,NA
"2274",957,807,111029.673076923,30307,10,7
"2275",957,815,111014.846153846,29195,10,6
"2276",957,817,110039.269230769,30005.5,9,4
"2277",957,821,112758.764705882,35696,210,16
"2278",957,822,112381.862745098,29545,3,14
"2279",957,825,113837.632653061,29485,4,17
"2280",957,826,111315.980769231,30321,5,10
"2281",957,828,160326.727272727,70186.5,15,NA
"2282",957,830,109693.865384615,30712,9,2
"2283",957,831,112553.450980392,30562,15,15
"2284",957,832,111186.326923077,30340.5,5,8
"2285",957,835,120840.567567568,42322.3333333333,4,NA
"2286",957,836,169411.166666667,31812,209,NA
"2287",957,837,129148.916666667,30066.5,209,NA
"2288",958,1,86144.5,21607,131,1
"2289",958,3,86172.7428571429,21792,131,2
"2290",958,4,87476.3768115942,21998,1,7
"2291",958,8,86845.1285714286,21904,6,6
"2292",958,13,89035.9117647059,22079.5,3,18
"2293",958,18,89144.2,20477.6666666667,1,NA
"2294",958,20,86547.5428571429,21587.5,6,4
"2295",958,154,88205.5072463768,22365,210,14
"2296",958,807,87734.9420289855,22682,10,10
"2297",958,815,87949.6811594203,26315,10,11
"2298",958,817,86537.9142857143,22123.5,9,3
"2299",958,821,88039.5072463768,22674,210,13
"2300",958,822,87632.1739130435,21554.5,3,9
"2301",958,825,88224.0289855072,22020.5,4,15
"2302",958,826,88234.4492753623,25028,5,16
"2303",958,828,89361.0441176471,23459.6666666667,15,20
"2304",958,830,86839.6285714286,22038,9,5
"2305",958,831,88255.7536231884,22871.5,15,17
"2306",958,832,87526.8405797101,22688.5,5,8
"2307",958,835,88054.7246376812,21778.5,4,12
"2308",958,836,89304.5441176471,23125.5,209,19
"2309",958,837,89774.3382352941,24254,209,21
"2310",959,1,81256.7164179104,18543,131,1
"2311",959,3,81493.2089552239,22331,131,4
"2312",959,4,82872.803030303,19275,1,12
"2313",959,8,81809.2985074627,20353.3333333333,6,6
"2314",959,13,84630.3611111111,27492.5,3,NA
"2315",959,18,82608.6363636364,19273,1,8
"2316",959,20,81742.8358208955,19234,6,5
"2317",959,154,82924.6212121212,20082,210,13
"2318",959,807,82302.223880597,19553,10,7
"2319",959,815,82704.5151515152,19278.3333333333,10,10
"2320",959,817,81361.1343283582,18893.6666666667,9,2
"2321",959,821,82805.9848484848,19712.5,210,11
"2322",959,822,82680.6212121212,18989.5,3,9
"2323",959,825,83251.6212121212,19096.5,4,16
"2324",959,826,83005.5454545455,20911.3333333333,5,15
"2325",959,828,83966.7846153846,19733,15,18
"2326",959,830,81456.9104477612,19040.3333333333,9,3
"2327",959,831,84471.5263157895,23188,15,NA
"2328",959,832,82967.696969697,20681.6666666667,5,14
"2329",959,835,84155.9538461538,21903.6666666667,4,19
"2330",959,836,83830.0461538462,19699,209,17
"2331",959,837,84577.5692307692,24474,209,20
"2332",960,1,143606.636363636,349084.333333333,131,3
"2333",960,3,142978.590909091,509373,131,1
"2334",960,4,144329.613636364,510342.5,1,7
"2335",960,8,144367.431818182,269089.75,6,9
"2336",960,13,144475.704545455,348554.333333333,3,10
"2337",960,18,141859,NA,1,NA
"2338",960,20,144010.272727273,347892,6,6
"2339",960,154,144716.636363636,348726,210,13
"2340",960,807,143794.659090909,348682.333333333,10,4
"2341",960,815,143902.681818182,348906.333333333,10,5
"2342",960,817,143299.340909091,510466,9,2
"2343",960,821,144657.613636364,348556.333333333,210,12
"2344",960,822,144345.659090909,347612,3,8
"2345",960,825,121888,NA,4,NA
"2346",960,826,144958.068181818,349062.666666667,5,14
